,main_category,unit_type,sub_category,max_range,min_range
Backhoe Loader_number_Model Number/Name,Backhoe Loader,number,Model Number/Name,2600000.0,100000.0
Backhoe Loader_one_Backhoe Bucket Capacity,Backhoe Loader,one,Backhoe Bucket Capacity,550000.0,550000.0
Backhoe Loader_one_Brand,Backhoe Loader,one,Brand,2550000.0,2350000.0
Backhoe Loader_one_Gross Power,Backhoe Loader,one,Gross Power,550000.0,550000.0
Backhoe Loader_one_Loader Bucket Capacity,Backhoe Loader,one,Loader Bucket Capacity,550000.0,550000.0
Backhoe Loader_one_Maximum operating weight,Backhoe Loader,one,Maximum operating weight,550000.0,550000.0
Backhoe Loader_one_Model,Backhoe Loader,one,Model,550000.0,550000.0
Backhoe Loader_ounce_Condition,Backhoe Loader,ounce,Condition,690000.0,690000.0
Backhoe Loader_piece_Backhoe Bucket Capacity,Backhoe Loader,piece,Backhoe Bucket Capacity,2390000.0,1600000.0
Backhoe Loader_piece_Brand,Backhoe Loader,piece,Brand,2500000.0,1600000.0
Backhoe Loader_piece_Capacity,Backhoe Loader,piece,Capacity,250000.0,250000.0
Backhoe Loader_piece_Condition,Backhoe Loader,piece,Condition,910000.0,22000.0
Backhoe Loader_piece_Engine Power,Backhoe Loader,piece,Engine Power,2600000.0,2600000.0
Backhoe Loader_piece_Gross Power,Backhoe Loader,piece,Gross Power,1230000.0,250000.0
Backhoe Loader_piece_Gross Power (HP at rpm),Backhoe Loader,piece,Gross Power (HP at rpm),910000.0,90000.0
Backhoe Loader_piece_Loader Bucket Capacity,Backhoe Loader,piece,Loader Bucket Capacity,1600000.0,930000.0
Backhoe Loader_piece_Material,Backhoe Loader,piece,Material,250000.0,250000.0
Backhoe Loader_piece_Maximum Dig Depth,Backhoe Loader,piece,Maximum Dig Depth,1895000.0,900000.0
Backhoe Loader_piece_Maximum Dig Depth (mm),Backhoe Loader,piece,Maximum Dig Depth (mm),850000.0,250000.0
Backhoe Loader_piece_Maximum operating weight,Backhoe Loader,piece,Maximum operating weight,2325000.0,250000.0
Backhoe Loader_piece_Model,Backhoe Loader,piece,Model,1350000.0,90000.0
Backhoe Loader_piece_Model Number/Name,Backhoe Loader,piece,Model Number/Name,2420000.0,28000.0
Backhoe Loader_piece_Name of Part,Backhoe Loader,piece,Name of Part,250000.0,250000.0
Backhoe Loader_piece_Tractor Brand,Backhoe Loader,piece,Tractor Brand,930000.0,900000.0
Backhoe Loader_piece_Warranty,Backhoe Loader,piece,Warranty,900000.0,250000.0
Backhoe Loader_set_Backhoe Bucket Capacity,Backhoe Loader,set,Backhoe Bucket Capacity,25000000.0,25000000.0
Backhoe Loader_set_Brand,Backhoe Loader,set,Brand,25000000.0,700000.0
Backhoe Loader_set_Gross Power,Backhoe Loader,set,Gross Power,25000000.0,700000.0
Backhoe Loader_set_Maximum Dig Depth,Backhoe Loader,set,Maximum Dig Depth,25000000.0,25000000.0
Backhoe Loader_set_Maximum Operating Weight,Backhoe Loader,set,Maximum Operating Weight,25000000.0,25000000.0
Backhoe Loader_set_Model,Backhoe Loader,set,Model,700000.0,700000.0
Backhoe Loader_set_Model Number/Name,Backhoe Loader,set,Model Number/Name,25000000.0,25000000.0
Backhoe Loader_unit_Backhoe Bucket Capacity,Backhoe Loader,unit,Backhoe Bucket Capacity,2795000.0,2100000.0
Backhoe Loader_unit_Brand,Backhoe Loader,unit,Brand,2795000.0,2150000.0
Backhoe Loader_unit_Condition,Backhoe Loader,unit,Condition,2750000.0,2250000.0
Backhoe Loader_unit_Engine Model,Backhoe Loader,unit,Engine Model,2750000.0,2750000.0
Backhoe Loader_unit_Engine Power,Backhoe Loader,unit,Engine Power,2750000.0,2285133.0
Backhoe Loader_unit_Engine Power (hp),Backhoe Loader,unit,Engine Power (hp),2650000.0,2550000.0
Backhoe Loader_unit_Gross Power,Backhoe Loader,unit,Gross Power,2685000.0,2100000.0
Backhoe Loader_unit_Gross Power (HP at rpm),Backhoe Loader,unit,Gross Power (HP at rpm),2250000.0,2250000.0
Backhoe Loader_unit_Gross Power (hp),Backhoe Loader,unit,Gross Power (hp),850000.0,450000.0
Backhoe Loader_unit_Loader Bucket Capacity,Backhoe Loader,unit,Loader Bucket Capacity,2795000.0,2100000.0
Backhoe Loader_unit_Material,Backhoe Loader,unit,Material,490000.0,290000.0
Backhoe Loader_unit_Maximum Dig Depth,Backhoe Loader,unit,Maximum Dig Depth,2795000.0,2100000.0
Backhoe Loader_unit_Maximum Dig Depth (mm),Backhoe Loader,unit,Maximum Dig Depth (mm),2250000.0,2250000.0
Backhoe Loader_unit_Maximum Operating Weight,Backhoe Loader,unit,Maximum Operating Weight,2550000.0,550000.0
Backhoe Loader_unit_Maximum operating weight,Backhoe Loader,unit,Maximum operating weight,2795000.0,2100000.0
Backhoe Loader_unit_Model,Backhoe Loader,unit,Model,2795000.0,1650000.0
Backhoe Loader_unit_Model Number/Name,Backhoe Loader,unit,Model Number/Name,2300000.0,550000.0
Bag Filling Machine_number_Brand,Bag Filling Machine,number,Brand,300000.0,300000.0
Bag Filling Machine_number_Capacity,Bag Filling Machine,number,Capacity,300000.0,300000.0
Bag Filling Machine_number_Machine Type,Bag Filling Machine,number,Machine Type,300000.0,300000.0
Bag Filling Machine_number_Material,Bag Filling Machine,number,Material,5.9,5.9
Bag Filling Machine_number_Usage/Application,Bag Filling Machine,number,Usage/Application,300000.0,300000.0
Bag Filling Machine_piece_Brand,Bag Filling Machine,piece,Brand,200000.0,150000.0
Bag Filling Machine_piece_Capacity,Bag Filling Machine,piece,Capacity,380000.0,200000.0
Bag Filling Machine_piece_Machine Type,Bag Filling Machine,piece,Machine Type,380000.0,200000.0
Bag Filling Machine_piece_Packaging Type,Bag Filling Machine,piece,Packaging Type,380000.0,380000.0
Bag Filling Machine_piece_Power Consumption,Bag Filling Machine,piece,Power Consumption,1250000.0,300000.0
Bag Filling Machine_piece_Usage/Application,Bag Filling Machine,piece,Usage/Application,150000.0,150000.0
Bag Filling Machine_unit_Brand,Bag Filling Machine,unit,Brand,395000.0,300000.0
Bag Filling Machine_unit_Capacity,Bag Filling Machine,unit,Capacity,395000.0,325000.0
Bag Filling Machine_unit_Filling System,Bag Filling Machine,unit,Filling System,350000.0,350000.0
Bag Filling Machine_unit_Machine Type,Bag Filling Machine,unit,Machine Type,395000.0,375000.0
Bag Filling Machine_unit_Number Of Head,Bag Filling Machine,unit,Number Of Head,300000.0,300000.0
Bag Filling Machine_unit_Power Consumption,Bag Filling Machine,unit,Power Consumption,395000.0,395000.0
Belt Conveyors_feet_Belt Material,Belt Conveyors,feet,Belt Material,6000.0,3000.0
Belt Conveyors_feet_Belt Type,Belt Conveyors,feet,Belt Type,3000.0,3000.0
Belt Conveyors_feet_Brand,Belt Conveyors,feet,Brand,5000.0,2500.0
Belt Conveyors_feet_Capacity,Belt Conveyors,feet,Capacity,3800.0,3800.0
Belt Conveyors_feet_Design Type,Belt Conveyors,feet,Design Type,3000.0,3000.0
Belt Conveyors_feet_Material,Belt Conveyors,feet,Material,3800.0,2500.0
Belt Conveyors_feet_Structure,Belt Conveyors,feet,Structure,8000.0,6000.0
Belt Conveyors_feet_Type,Belt Conveyors,feet,Type,9000.0,3000.0
Belt Conveyors_feet_Usage/Application,Belt Conveyors,feet,Usage/Application,3800.0,3800.0
Belt Conveyors_feet_Use,Belt Conveyors,feet,Use,7000.0,6000.0
Belt Conveyors_foot_Belt Material,Belt Conveyors,foot,Belt Material,10000.0,10000.0
Belt Conveyors_foot_Belt Type,Belt Conveyors,foot,Belt Type,18000.0,15000.0
Belt Conveyors_foot_Belt Width,Belt Conveyors,foot,Belt Width,8000.0,8000.0
Belt Conveyors_foot_Brand,Belt Conveyors,foot,Brand,15000.0,10000.0
Belt Conveyors_foot_Condition,Belt Conveyors,foot,Condition,10000.0,10000.0
Belt Conveyors_foot_Design Type,Belt Conveyors,foot,Design Type,15000.0,15000.0
Belt Conveyors_foot_Length,Belt Conveyors,foot,Length,8000.0,8000.0
Belt Conveyors_foot_Material,Belt Conveyors,foot,Material,10000.0,8000.0
Belt Conveyors_foot_Size,Belt Conveyors,foot,Size,10000.0,10000.0
Belt Conveyors_foot_Structure,Belt Conveyors,foot,Structure,10000.0,10000.0
Belt Conveyors_foot_Type,Belt Conveyors,foot,Type,15000.0,10000.0
Belt Conveyors_foot_Usage/Application,Belt Conveyors,foot,Usage/Application,10000.0,10000.0
Belt Conveyors_meter_Application,Belt Conveyors,meter,Application,18000.0,17000.0
Belt Conveyors_meter_Belt Material,Belt Conveyors,meter,Belt Material,30000.0,1000.0
Belt Conveyors_meter_Belt Thickness,Belt Conveyors,meter,Belt Thickness,25000.0,16000.0
Belt Conveyors_meter_Belt Type,Belt Conveyors,meter,Belt Type,25000.0,5800.0
Belt Conveyors_meter_Belt Width,Belt Conveyors,meter,Belt Width,25000.0,25000.0
Belt Conveyors_meter_Brand,Belt Conveyors,meter,Brand,35000.0,500.0
Belt Conveyors_meter_Capacity,Belt Conveyors,meter,Capacity,20000.0,1500.0
Belt Conveyors_meter_Condition,Belt Conveyors,meter,Condition,15000.0,12900.0
Belt Conveyors_meter_Design Type,Belt Conveyors,meter,Design Type,25000.0,5800.0
Belt Conveyors_meter_Driven Type,Belt Conveyors,meter,Driven Type,10000.0,10000.0
Belt Conveyors_meter_Length,Belt Conveyors,meter,Length,525000.0,525000.0
Belt Conveyors_meter_Material,Belt Conveyors,meter,Material,38500.0,500.0
Belt Conveyors_meter_Material Handling Capacity,Belt Conveyors,meter,Material Handling Capacity,22000.0,14000.0
Belt Conveyors_meter_Structure,Belt Conveyors,meter,Structure,25000.0,12000.0
Belt Conveyors_meter_Type,Belt Conveyors,meter,Type,25000.0,1000.0
Belt Conveyors_meter_Usage/Application,Belt Conveyors,meter,Usage/Application,30000.0,1500.0
Belt Conveyors_number_Application,Belt Conveyors,number,Application,125000.0,125000.0
Belt Conveyors_number_Belt Material,Belt Conveyors,number,Belt Material,300000.0,35000.0
Belt Conveyors_number_Belt Type,Belt Conveyors,number,Belt Type,120000.0,120000.0
Belt Conveyors_number_Brand,Belt Conveyors,number,Brand,100000.0,5000.0
Belt Conveyors_number_Condition,Belt Conveyors,number,Condition,150000.0,150000.0
Belt Conveyors_number_Design Type,Belt Conveyors,number,Design Type,275000.0,120000.0
Belt Conveyors_number_Material,Belt Conveyors,number,Material,125000.0,5000.0
Belt Conveyors_number_Material Handling Capacity,Belt Conveyors,number,Material Handling Capacity,125000.0,100000.0
Belt Conveyors_number_Structure,Belt Conveyors,number,Structure,275000.0,55000.0
Belt Conveyors_number_Type,Belt Conveyors,number,Type,150000.0,5000.0
Belt Conveyors_number_Usage/Application,Belt Conveyors,number,Usage/Application,125000.0,5000.0
Belt Conveyors_number_Use,Belt Conveyors,number,Use,125000.0,125000.0
Belt Conveyors_piece_Application,Belt Conveyors,piece,Application,240000.0,30000.0
Belt Conveyors_piece_Belt Material,Belt Conveyors,piece,Belt Material,287000.0,1000.0
Belt Conveyors_piece_Belt Thickness,Belt Conveyors,piece,Belt Thickness,350000.0,125000.0
Belt Conveyors_piece_Belt Type,Belt Conveyors,piece,Belt Type,232000.0,8500.0
Belt Conveyors_piece_Belt Width,Belt Conveyors,piece,Belt Width,350000.0,125000.0
Belt Conveyors_piece_Brand,Belt Conveyors,piece,Brand,200000.0,1000.0
Belt Conveyors_piece_Capacity,Belt Conveyors,piece,Capacity,150000.0,94000.0
Belt Conveyors_piece_Condition,Belt Conveyors,piece,Condition,94000.0,48000.0
Belt Conveyors_piece_Conveyor Type,Belt Conveyors,piece,Conveyor Type,40000.0,35000.0
Belt Conveyors_piece_Design Type,Belt Conveyors,piece,Design Type,100000.0,8500.0
Belt Conveyors_piece_Driven Type,Belt Conveyors,piece,Driven Type,75000.0,26000.0
Belt Conveyors_piece_Length,Belt Conveyors,piece,Length,60000.0,20000.0
Belt Conveyors_piece_Material,Belt Conveyors,piece,Material,350000.0,1000.0
Belt Conveyors_piece_Material Handling Capacity,Belt Conveyors,piece,Material Handling Capacity,200000.0,1000.0
Belt Conveyors_piece_Orientation,Belt Conveyors,piece,Orientation,50000.0,50000.0
Belt Conveyors_piece_Power Source,Belt Conveyors,piece,Power Source,500000.0,500000.0
Belt Conveyors_piece_Power(W),Belt Conveyors,piece,Power(W),70000.0,70000.0
Belt Conveyors_piece_Roller Type,Belt Conveyors,piece,Roller Type,350000.0,350000.0
Belt Conveyors_piece_Size,Belt Conveyors,piece,Size,70000.0,50000.0
Belt Conveyors_piece_Structure,Belt Conveyors,piece,Structure,125000.0,12000.0
Belt Conveyors_piece_Thickness,Belt Conveyors,piece,Thickness,125000.0,85000.0
Belt Conveyors_piece_Type,Belt Conveyors,piece,Type,125000.0,1000.0
Belt Conveyors_piece_Usage/Application,Belt Conveyors,piece,Usage/Application,300000.0,1000.0
Belt Conveyors_piece_Use,Belt Conveyors,piece,Use,70000.0,40000.0
Belt Conveyors_running feet_Brand,Belt Conveyors,running feet,Brand,13000.0,13000.0
Belt Conveyors_running feet_Material,Belt Conveyors,running feet,Material,3500.0,3500.0
Belt Conveyors_running feet_Type,Belt Conveyors,running feet,Type,3500.0,3500.0
Belt Conveyors_set_Belt Material,Belt Conveyors,set,Belt Material,120000.0,40000.0
Belt Conveyors_set_Belt Type,Belt Conveyors,set,Belt Type,90000.0,75000.0
Belt Conveyors_set_Brand,Belt Conveyors,set,Brand,120000.0,25500.0
Belt Conveyors_set_Capacity,Belt Conveyors,set,Capacity,15000.0,15000.0
Belt Conveyors_set_Condition,Belt Conveyors,set,Condition,90000.0,50000.0
Belt Conveyors_set_Design Type,Belt Conveyors,set,Design Type,90000.0,49000.0
Belt Conveyors_set_Driven Type,Belt Conveyors,set,Driven Type,120000.0,40000.0
Belt Conveyors_set_Material,Belt Conveyors,set,Material,120000.0,65000.0
Belt Conveyors_set_Material Handling Capacity,Belt Conveyors,set,Material Handling Capacity,120000.0,25500.0
Belt Conveyors_set_Size,Belt Conveyors,set,Size,150000.0,90000.0
Belt Conveyors_set_Structure,Belt Conveyors,set,Structure,90000.0,90000.0
Belt Conveyors_set_Type,Belt Conveyors,set,Type,100000.0,15000.0
Belt Conveyors_set_Usage/Application,Belt Conveyors,set,Usage/Application,50000.0,15000.0
Belt Conveyors_set_Use,Belt Conveyors,set,Use,90000.0,90000.0
Belt Conveyors_square feet_Capacity,Belt Conveyors,square feet,Capacity,10000.0,10000.0
Belt Conveyors_square feet_Length,Belt Conveyors,square feet,Length,10000.0,10000.0
Belt Conveyors_square feet_Material,Belt Conveyors,square feet,Material,10000.0,10000.0
Belt Conveyors_square feet_Material Grade,Belt Conveyors,square feet,Material Grade,10000.0,10000.0
Belt Conveyors_square feet_Roller Material,Belt Conveyors,square feet,Roller Material,10000.0,10000.0
Belt Conveyors_square meter_Belt Material,Belt Conveyors,square meter,Belt Material,25000.0,1200.0
Belt Conveyors_unit_Application,Belt Conveyors,unit,Application,80000.0,1000.0
Belt Conveyors_unit_Belt Material,Belt Conveyors,unit,Belt Material,350000.0,8000.0
Belt Conveyors_unit_Belt Thickness,Belt Conveyors,unit,Belt Thickness,175000.0,115000.0
Belt Conveyors_unit_Belt Type,Belt Conveyors,unit,Belt Type,200000.0,30000.0
Belt Conveyors_unit_Belt Width,Belt Conveyors,unit,Belt Width,175000.0,115000.0
Belt Conveyors_unit_Brand,Belt Conveyors,unit,Brand,325000.0,8000.0
Belt Conveyors_unit_Capacity,Belt Conveyors,unit,Capacity,125000.0,80000.0
Belt Conveyors_unit_Capacity (Kilogram),Belt Conveyors,unit,Capacity (Kilogram),100000.0,100000.0
Belt Conveyors_unit_Condition,Belt Conveyors,unit,Condition,350000.0,30000.0
Belt Conveyors_unit_Design Type,Belt Conveyors,unit,Design Type,200000.0,8000.0
Belt Conveyors_unit_Driven Type,Belt Conveyors,unit,Driven Type,50000.0,35000.0
Belt Conveyors_unit_Length,Belt Conveyors,unit,Length,145000.0,145000.0
Belt Conveyors_unit_Material,Belt Conveyors,unit,Material,200000.0,8000.0
Belt Conveyors_unit_Material Grade,Belt Conveyors,unit,Material Grade,125000.0,125000.0
Belt Conveyors_unit_Material Handling Capacity,Belt Conveyors,unit,Material Handling Capacity,250000.0,70000.0
Belt Conveyors_unit_Shape,Belt Conveyors,unit,Shape,225000.0,225000.0
Belt Conveyors_unit_Size,Belt Conveyors,unit,Size,30000.0,30000.0
Belt Conveyors_unit_Size/Dimension,Belt Conveyors,unit,Size/Dimension,200000.0,200000.0
Belt Conveyors_unit_Structure,Belt Conveyors,unit,Structure,200000.0,125000.0
Belt Conveyors_unit_Type,Belt Conveyors,unit,Type,350000.0,8000.0
Belt Conveyors_unit_Usage/Application,Belt Conveyors,unit,Usage/Application,200000.0,15000.0
Belt Conveyors_unit_Use,Belt Conveyors,unit,Use,100000.0,70000.0
Belt Pulley_bag_Material,Belt Pulley,bag,Material,1450.0,1450.0
Belt Pulley_inch_Brand,Belt Pulley,inch,Brand,30.0,25.0
Belt Pulley_inch_Capacity,Belt Pulley,inch,Capacity,25.0,23.0
Belt Pulley_inch_Material,Belt Pulley,inch,Material,30.0,23.0
Belt Pulley_inch_Type,Belt Pulley,inch,Type,23.0,23.0
Belt Pulley_inch_Usage/Application,Belt Pulley,inch,Usage/Application,25.0,23.0
Belt Pulley_kilogram_Capacity,Belt Pulley,kilogram,Capacity,65.0,60.0
Belt Pulley_kilogram_Material,Belt Pulley,kilogram,Material,70.0,50.0
Belt Pulley_kilogram_Material Of Construction,Belt Pulley,kilogram,Material Of Construction,65.0,65.0
Belt Pulley_kilogram_Surface Finish,Belt Pulley,kilogram,Surface Finish,70.0,70.0
Belt Pulley_kilogram_Type,Belt Pulley,kilogram,Type,70.0,70.0
Belt Pulley_kit_Brand,Belt Pulley,kit,Brand,399.0,399.0
Belt Pulley_kit_Capacity,Belt Pulley,kit,Capacity,399.0,399.0
Belt Pulley_kit_Material,Belt Pulley,kit,Material,399.0,399.0
Belt Pulley_kit_Size,Belt Pulley,kit,Size,399.0,399.0
Belt Pulley_kit_Thickness,Belt Pulley,kit,Thickness,399.0,399.0
Belt Pulley_kit_Type,Belt Pulley,kit,Type,399.0,399.0
Belt Pulley_number_Application,Belt Pulley,number,Application,15.0,15.0
Belt Pulley_number_Brand,Belt Pulley,number,Brand,15.0,15.0
Belt Pulley_number_Capacity,Belt Pulley,number,Capacity,15.0,15.0
Belt Pulley_number_Diameter,Belt Pulley,number,Diameter,15.0,15.0
Belt Pulley_number_Material,Belt Pulley,number,Material,10500.0,15.0
Belt Pulley_number_Material Of Construction,Belt Pulley,number,Material Of Construction,800.0,800.0
Belt Pulley_number_Number Of Grooves,Belt Pulley,number,Number Of Grooves,15.0,15.0
Belt Pulley_number_Size,Belt Pulley,number,Size,15.0,15.0
Belt Pulley_number_Standard Lift,Belt Pulley,number,Standard Lift,15.0,15.0
Belt Pulley_number_Type,Belt Pulley,number,Type,125.0,15.0
Belt Pulley_number_Usage/Application,Belt Pulley,number,Usage/Application,15.0,15.0
Belt Pulley_pair_Brand,Belt Pulley,pair,Brand,249.0,130.0
Belt Pulley_pair_Capacity,Belt Pulley,pair,Capacity,249.0,249.0
Belt Pulley_pair_Diameter,Belt Pulley,pair,Diameter,249.0,249.0
Belt Pulley_pair_Material,Belt Pulley,pair,Material,249.0,249.0
Belt Pulley_pair_Size,Belt Pulley,pair,Size,249.0,249.0
Belt Pulley_pair_Type,Belt Pulley,pair,Type,249.0,130.0
Belt Pulley_piece_Belt Section,Belt Pulley,piece,Belt Section,2500.0,2500.0
Belt Pulley_piece_Brand,Belt Pulley,piece,Brand,1200.0,50.0
Belt Pulley_piece_Capacity,Belt Pulley,piece,Capacity,500.0,40.0
Belt Pulley_piece_Condition,Belt Pulley,piece,Condition,1200.0,1200.0
Belt Pulley_piece_Diameter,Belt Pulley,piece,Diameter,800.0,800.0
Belt Pulley_piece_Material,Belt Pulley,piece,Material,2500.0,40.0
Belt Pulley_piece_Material Of Construction,Belt Pulley,piece,Material Of Construction,1000.0,120.0
Belt Pulley_piece_Number Of Grooves,Belt Pulley,piece,Number Of Grooves,2500.0,120.0
Belt Pulley_piece_Number of Grooves,Belt Pulley,piece,Number of Grooves,800.0,500.0
Belt Pulley_piece_Part Type,Belt Pulley,piece,Part Type,225.0,220.0
Belt Pulley_piece_Size,Belt Pulley,piece,Size,800.0,800.0
Belt Pulley_piece_Standard Lift,Belt Pulley,piece,Standard Lift,600.0,500.0
Belt Pulley_piece_Surface Finish,Belt Pulley,piece,Surface Finish,1000.0,200.0
Belt Pulley_piece_Type,Belt Pulley,piece,Type,1500.0,40.0
Belt Pulley_piece_Usage/Application,Belt Pulley,piece,Usage/Application,500.0,40.0
Belt Pulley_unit_Brand,Belt Pulley,unit,Brand,1000.0,650.0
Belt Pulley_unit_Capacity,Belt Pulley,unit,Capacity,650.0,450.0
Belt Pulley_unit_Diameter,Belt Pulley,unit,Diameter,3500.0,3500.0
